"conceptTitle","countWork"
"Medicine","2060"
"Internal medicine","1798"
"Materials science","1350"
"Nanotechnology","1323"
"Metallurgy","287"
"Cancer","1920"
"Biocompatibility","273"
"Cancer therapy","1528"
"Nanomaterials","282"
"Drug delivery","710"
"Cancer treatment","360"
"Radiation therapy","231"
"Oncology","217"
"Chemotherapy","164"
"Dermatology","10"
"Dentistry","6"
"Oral cavity","5"
"Oral hygiene","5"
"Oral Cancers","5"
"Mathematical analysis","27"
"Mathematics","48"
"Chemistry","1239"
"Biochemistry","730"
"Organic chemistry","729"
"Pharmacology","596"
"Drug","373"
"Combinatorial chemistry","110"
"Targeted drug delivery","290"
"Small molecule","33"
"Conjugate","22"
"Anticancer drug","38"
"Receptor","84"
"Polymer","94"
"Molecule","50"
"Stereochemistry","27"
"Drug discovery","33"
"Ligand (biochemistry)","14"
"Conjugated system","18"
"Signal transduction","17"
"Cancer research","870"
"Tyrosine kinase","7"
"Dasatinib","4"
"Nanomedicine","463"
"Nanoparticle","751"
"Nanocarriers","222"
"Dendrimer","55"
"Polymer chemistry","66"
"Self-healing hydrogels","24"
"Drug carrier","76"
"Macromolecule","2"
"Dispersity","9"
"Physical chemistry","182"
"Photothermal therapy","435"
"Surface modification","164"
"Colloidal gold","127"
"Nanochemistry","70"
"Biosensor","107"
"Composite material","129"
"Biocompatible material","68"
"Biomedical engineering","128"
"Nano-","18"
"Photothermal effect","62"
"Bioavailability","38"
"Biology","881"
"Biotechnology","112"
"In vivo","97"
"Biodistribution","29"
"Engineering","78"
"Applications of nanotechnology","27"
"Nanobiotechnology","14"
"Catalysis","116"
"Mesoporous material","40"
"Food science","3"
"Ascorbic acid","1"
"Characterization (materials science)","11"
"Liposome","68"
"Optoelectronics","57"
"Palladium","2"
"Plasmonic nanoparticles","3"
"Plasmon","8"
"Nanoengineering","2"
"Neuroscience","50"
"Cognition","2"
"Immunology","420"
"Inflammation","16"
"Central nervous system","1"
"Neurotransmission","1"
"Stimulation","1"
"Transcranial magnetic stimulation","1"
"Synaptic plasticity","1"
"Microglia","1"
"Synapse","1"
"Prefrontal cortex","1"
"Neuroplasticity","1"
"Brain stimulation","1"
"Computer science","150"
"Colorectal cancer","57"
"Magnetic nanoparticles","67"
"Cancer cell","411"
"Membrane","19"
"Vesicle","8"
"Niosome","3"
"Sociology","23"
"Radiology","81"
"Proton therapy","39"
"Bioinformatics","206"
"Nuclear medicine","23"
"Criminology","5"
"Medical physics","78"
"Radiochemistry","11"
"Bismuth","2"
"Targeted therapy","91"
"Collateral damage","5"
"Magic bullet","7"
"Radionuclide therapy","13"
"Mechanical engineering","6"
"Arc (geometry)","1"
"Radiation oncology","3"
"Radiation treatment planning","4"
"Radiobiology","1"
"Combination therapy","90"
"Therapeutic index","5"
"Therapeutic modalities","14"
"Reactive oxygen species","141"
"Photodynamic therapy","426"
"Sonodynamic therapy","100"
"Nanorobotics","7"
"Paleontology","43"
"Context (archaeology)","35"
"ADME","4"
"Immune system","336"
"Disease","143"
"Genetics","339"
"Cell","94"
"Cell cycle","22"
"Metastasis","87"
"Epithelial–mesenchymal transition","9"
"Oncogene","12"
"Cell culture","33"
"Tumor progression","38"
"Cell growth","30"
"Gene knockdown","12"
"Cell migration","7"
"Gene","246"
"Transcription factor","28"
"Epigenetics","11"
"Carcinogenesis","77"
"Computational biology","168"
"Methylation","2"
"Acetylation","1"
"Proto-Oncogene Proteins c-myc","1"
"Physics","166"
"Quantum mechanics","49"
"Applied mathematics","5"
"Electrical engineering","5"
"Optical tweezers","2"
"Controllability","2"
"Biochemical engineering","14"
"Microfluidics","4"
"Tweezers","2"
"Oxygen","79"
"Photosensitizer","119"
"Singlet oxygen","38"
"Hematoporphyrin","3"
"Malignant cells","3"
"Population","24"
"Environmental health","29"
"Microbiology","28"
"Cell membrane","1"
"Antimicrobial","12"
"Phospholipid","1"
"Cancer cell lines","3"
"Apoptosis","73"
"Master regulator","1"
"Regulator","2"
"Pathology","157"
"Surgery","78"
"Nursing","25"
"Alternative medicine","19"
"Placebo","1"
"Randomized controlled trial","14"
"Observational study","4"
"Clinical trial","57"
"Adverse effect","33"
"Quality of life (healthcare)","11"
"Intensive care medicine","119"
"Head and neck cancer","4"
"Mucositis","6"
"Meta-analysis","7"
"Cryotherapy","2"
"Cell biology","179"
"Cancer immunotherapy","243"
"Mitochondrion","45"
"Immunotherapy","340"
"Tumor microenvironment","311"
"Bioenergetics","23"
"In vitro","104"
"T cell","35"
"Cytotoxic T cell","18"
"CD8","7"
"Immune checkpoint","73"
"Effector","11"
"Ecology","34"
"Coronavirus disease 2019 (COVID-19)","75"
"Infectious disease (medical specialty)","76"
"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)","49"
"Repurposing","26"
"Drug development","18"
"Coronavirus","23"
"Antiviral drug","10"
"Drug repositioning","26"
"Approved drug","9"
"Philosophy","26"
"Epistemology","24"
"Celecoxib","1"
"Mechanism (biology)","20"
"Computer security","9"
"Risk analysis (engineering)","14"
"Waste management","8"
"SAFER","6"
"Cancer drugs","21"
"Precision medicine","36"
"Translational research","14"
"Organoid","12"
"Food and drug administration","3"
"Vaccination","5"
"Cancer vaccine","5"
"Dextran","11"
"Breast cancer","69"
"Stage (stratigraphy)","7"
"Metastatic breast cancer","9"
"CA15-3","5"
"Endocrinology","13"
"Glycolysis","7"
"Metabolism","16"
"Oxidative phosphorylation","5"
"Metabolic pathway","3"
"Starvation","2"
"Confocal microscopy","1"
"Optics","101"
"Phenotype","12"
"Citric acid cycle","1"
"Crosstalk","9"
"Mitochondrial DNA","1"
"Mitochondrial disease","1"
"Tricarboxylic acid","1"
"Chitosan","38"
"RNA","15"
"Lung cancer","31"
"Treatment of lung cancer","10"
"Small interfering RNA","6"
"Reprogramming","25"
"Immunity","12"
"Lipid metabolism","19"
"Raman scattering","3"
"Coherent anti-Stokes Raman spectroscopy","1"
"Raman spectroscopy","6"
"Spectroscopy","2"
"Nanophotonics","1"
"Surface plasmon","2"
"Surface-enhanced Raman spectroscopy","3"
"Phase (matter)","3"
"Chromatography","17"
"Colloid","1"
"Silver nanoparticle","7"
"Dispersion (optics)","1"
"Analytical Chemistry (journal)","2"
"Analyte","1"
"Virology","61"
"Oncolytic virus","42"
"Virotherapy","14"
"Psychiatry","11"
"Physical therapy","8"
"Obesity","1"
"Weight loss","1"
"Psychological intervention","4"
"Cancer cachexia","1"
"Cachexia","1"
"Medical nutrition therapy","1"
"Wasting","1"
"Quantum dot","28"
"Fluorescence","49"
"Composite number","18"
"Carbon quantum dots","11"
"Biomedicine","15"
"Carbon fibers","16"
"Nanoclusters","7"
"Extracellular matrix","9"
"Stem cell","19"
"Tissue engineering","5"
"Regenerative medicine","7"
"Regeneration (biology)","2"
"Omics","10"
"Metabolomics","9"
"Cancer biomarkers","19"
"Natural polymers","10"
"Chemical engineering","25"
"Polymer science","2"
"Biodegradation","2"
"Biopolymer","1"
"Swelling","2"
"Interpenetrating polymer network","1"
"Supramolecular chemistry","34"
"Biomolecule","20"
"Rational design","17"
"Pandemic","50"
"Antibody","21"
"Monoclonal antibody","14"
"Psychology","17"
"Political science","27"
"Law","25"
"Pedagogy","11"
"Medical education","13"
"Curriculum","11"
"Accreditation","11"
"Emergency medicine","13"
"Family medicine","20"
"MEDLINE","21"
"Graduate medical education","11"
"Ultrasound","21"
"Microbubbles","8"
"Therapeutic ultrasound","3"
"Sonoporation","2"
"Intervention (counseling)","6"
"Mood","1"
"Anxiety","4"
"Adjuvant chemotherapy","1"
"Incidence (geometry)","6"
"Clinical psychology","2"
"Distress","2"
"Enzyme","74"
"Aqueous solution","10"
"Lysosome","5"
"Graphene","54"
"Metal","32"
"Surface plasmon resonance","32"
"Noble metal","14"
"Nanoshell","49"
"Nanorod","19"
"Nanocages","37"
"Linguistics","2"
"Operating system","14"
"Statistics","11"
"Delphi","1"
"Nominal group","1"
"Delphi method","1"
"DNA","29"
"Doxorubicin","36"
"Antioxidant","19"
"Quercetin","2"
"Polyethylene glycol","4"
"PEGylation","1"
"Glutathione","28"
"Biophysics","110"
"Doxorubicin Hydrochloride","6"
"Sonication","2"
"Zeta potential","7"
"Nanocapsules","23"
"Angiogenesis","34"
"Osteosarcoma","3"
"Biomaterial","3"
"Systemic administration","5"
"Iron oxide nanoparticles","13"
"Magnetic hyperthermia","18"
"Iron oxide","4"
"Magnetic particle imaging","1"
"Pancreatic cancer","13"
"Histone","4"
"Methyltransferase","1"
"Demethylase","2"
"Druggability","2"
"Gene expression","11"
"Epigenesis","4"
"DNA methylation","7"
"Epigenetic therapy","4"
"Huntington's disease","1"
"Parkinson's disease","2"
"Neurology","1"
"Polyphenol","5"
"Proanthocyanidin","1"
"Traditional medicine","20"
