"conceptTitle","countWork"
"Medicine","1669"
"Internal medicine","1530"
"Composite material","126"
"Materials science","1041"
"Nanotechnology","1019"
"Polymer","110"
"Cancer","1671"
"Pharmacology","529"
"Drug","395"
"Cancer therapy","1392"
"Targeted drug delivery","365"
"Nanocarriers","291"
"Photothermal therapy","359"
"Drug delivery","657"
"Smart polymer","59"
"Anticancer drug","104"
"Cancer treatment","477"
"Chemistry","685"
"Organic chemistry","390"
"Biocompatibility","364"
"Drug carrier","58"
"Chitosan","32"
"Metallurgy","321"
"Biocompatible material","81"
"Biomedical engineering","142"
"Nanomedicine","419"
"Nanoparticle","524"
"Iron oxide nanoparticles","22"
"Magnetic hyperthermia","22"
"Magnetic nanoparticles","62"
"Sociology","45"
"Computer science","116"
"Social science","44"
"Modalities","43"
"Magnetic field","5"
"Physics","118"
"Magnetization","5"
"Quantum mechanics","52"
"Engineering","98"
"Chemical engineering","41"
"Superparamagnetism","5"
"Surface modification","122"
"Biology","710"
"Radiology","31"
"Magnetic resonance imaging","17"
"Pathology","137"
"Medical imaging","7"
"Bioinformatics","184"
"Biotechnology","79"
"In vivo","73"
"Positron emission tomography","6"
"Nuclear medicine","10"
"Personalized medicine","39"
"Medical physics","41"
"Cancer imaging","27"
"Precision medicine","37"
"Molecular imaging","18"
"Immunology","342"
"Genetics","314"
"Immune system","284"
"Cancer immunotherapy","269"
"Bacteria","52"
"Clinical trial","53"
"Immunotherapy","324"
"Gut flora","43"
"Adjuvant","34"
"Commensalism","30"
"Antigen","61"
"Cancer cell","459"
"Cancer research","740"
"Tumor cells","163"
"Tumor microenvironment","251"
"Immune escape","42"
"Gene","225"
"Biochemistry","457"
"Genetic enhancement","24"
"Adjuvant therapy","5"
"Immunopotentiator","2"
"Microfluidics","6"
"Optics","46"
"Optical tweezers","1"
"Tweezers","1"
"Philosophy","82"
"Epistemology","77"
"Intensive care medicine","110"
"Warburg effect","55"
"Mechanism (biology)","74"
"Cancer Medicine","57"
"Computational biology","131"
"Psychiatry","8"
"Oncology","113"
"Randomized controlled trial","4"
"Chemotherapy","44"
"Myocardial infarction","2"
"Psychological intervention","4"
"Biomarker","13"
"Cardioprotection","1"
"Cardiotoxicity","8"
"Tumor progression","24"
"Immunity","11"
"Paleontology","20"
"Context (archaeology)","13"
"Breast cancer","18"
"Penile cancer","2"
"Genitourinary system","1"
"Malignancy","5"
"Incidence (geometry)","4"
"Systemic therapy","5"
"Cell biology","151"
"Extracellular matrix","10"
"Angiogenesis","42"
"Stromal cell","9"
"Inflammation","15"
"microRNA","74"
"Microvesicles","59"
"Extracellular vesicles","57"
"Tissue remodeling","2"
"Microbiome","21"
"Metagenomics","4"
"Carcinogenesis","21"
"Oncolytic virus","16"
"Human Microbiome Project","5"
"Human microbiome","9"
"Receptor","47"
"In vitro","56"
"Cytotoxic T cell","10"
"Immune checkpoint","51"
"PD-L1","11"
"Targeted therapy","71"
"Blockade","16"
"Combination therapy","49"
"Downregulation and upregulation","8"
"Hematology","4"
"Surgery","59"
"Radiation therapy","117"
"Bladder cancer","36"
"Physical chemistry","95"
"Graphene","137"
"Biosafety","52"
"Biomolecule","19"
"Nanomaterials","194"
"Bioconjugation","4"
"Nanobiotechnology","6"
"Programming language","19"
"Dermatology","9"
"Head and neck cancer","5"
"Trismus","1"
"Side effect (computer science)","4"
"Dysphagia","1"
"Mucositis","3"
"Lymphedema","1"
"Apoptosis","78"
"Programmed cell death","46"
"Oxidative stress","30"
"Reactive oxygen species","76"
"Mitochondrial ROS","16"
"Mitochondrion","9"
"Autophagy","23"
"Metal","8"
"Doxorubicin","15"
"Chelation","2"
"Combinatorial chemistry","44"
"Small molecule","27"
"Metal ions in aqueous solution","1"
"Click chemistry","3"
"Photodynamic therapy","175"
"Necroptosis","16"
"Pyroptosis","12"
"Sonodynamic therapy","29"
"Oxygen","68"
"Singlet oxygen","48"
"Immunogenic cell death","11"
"Ecology","36"
"Chimeric antigen receptor","12"
"Repurposing","28"
"Solid tumor","11"
"Spleen","2"
"Tyrosine kinase","2"
"Bruton's tyrosine kinase","1"
"Syk","1"
"Tyrosine-kinase inhibitor","3"
"Alternative medicine","15"
"Physical therapy","15"
"Family medicine","15"
"Phenotype","14"
"Gerontology","8"
"Senescence","12"
"Cellular senescence","11"
"Cell","66"
"Cell cycle","10"
"Cell physiology","4"
"Neuroscience","20"
"Transferrin","1"
"Liposome","43"
"Transferrin receptor","1"
"Biodistribution","18"
"Bioavailability","25"
"Drug discovery","31"
"Cancer drugs","9"
"Immunosuppression","7"
"Catalysis","43"
"Mesoporous material","14"
"Mesoporous silica","14"
"Bench to bedside","4"
"Cancer detection","13"
"Cytotoxicity","7"
"Biophysics","59"
"Iron oxide","3"
"Oxide","22"
"Reagent","1"
"Metastasis","91"
"Vascular endothelial growth factor A","31"
"VEGF receptors","31"
"Vascular endothelial growth factor","31"
"Gene silencing","31"
"Oxygenation","6"
"Hypoxia (environmental)","20"
"Tumor hypoxia","25"
"Oxygen therapy","1"
"Quantum dot","64"
"Layer (electronics)","2"
"Carbon nanotube","8"
"Passivation","2"
"Optoelectronics","35"
"Luminescence","12"
"Photoluminescence","8"
"Environmental health","14"
"Hydroxide","1"
"Human health","5"
"Nanocomposite","10"
"Layered double hydroxides","1"
"Cell therapy","9"
"T cell","14"
"CAR T-cell therapy","2"
"Antibody","31"
"Disease","69"
"Monoclonal antibody","26"
"Semiconductor","16"
"Photochemistry","55"
"Photon upconversion","6"
"Photosensitizer","51"
"Photothermal effect","30"
"Messenger RNA","14"
"Nucleic acid","14"
"Translation (biology)","13"
"Exosome","38"
"Raman scattering","1"
"Raman spectroscopy","2"
"Surface-enhanced Raman spectroscopy","1"
"Characterization (materials science)","5"
"Condensed matter physics","1"
"Magnetism","1"
"Ubiquitin","7"
"Drug development","18"
"Translational research","4"
"Protein degradation","5"
"Prostate cancer","9"
"Osteoporosis","1"
"Bone mineral","1"
"Bone cancer","2"
"Bone disease","1"
"Bone health","1"
"Nanocapsules","53"
"Function (biology)","3"
"RNA","17"
"Immunohistochemistry","2"
"Extracellular","10"
"Stroma","2"
"Extracellular vesicle","25"
"Thrombosis","3"
"Heparin","1"
"Review article","1"
"Low molecular weight heparin","1"
"Venous thromboembolism","3"
"Helicobacter pylori","4"
"Conjugated system","7"
"Colorectal cancer","35"
"Oxaliplatin","1"
"Irinotecan","2"
"Brain tumor","5"
"Glioblastoma","6"
"Stem cell","11"
"Regenerative medicine","6"
"Immunogenicity","8"
"Molecule","24"
"Supramolecular chemistry","23"
"Fluorescence","52"
"Aggregation-induced emission","18"
"CD8","8"
"Virotherapy","6"
"Virus","9"
"Coronavirus disease 2019 (COVID-19)","12"
"Infectious disease (medical specialty)","12"
"Virology","12"
"Viral therapy","5"
"Antiviral drug","2"
"Virtual screening","3"
"Drug repositioning","23"
"Approved drug","9"
"Operating system","4"
"Risk analysis (engineering)","5"
"Profiling (computer programming)","1"
"Precision oncology","2"
"Pure mathematics","2"
"Mathematics","12"
"Artificial intelligence","8"
"Statistics","4"
"Monte Carlo method","2"
"Field (mathematics)","2"
"Visualization","1"
"Internalization","20"
"Psychology","12"
"Liquid biopsy","9"
"Adaptation (eye)","2"
"Radiation oncology","11"
"Biopsy","3"
"Point of care","1"
"Stereotactic biopsy","1"
"Prostate","1"
"Cancer biomarkers","9"
"Heat shock protein","4"
"Hsp90","4"
"Hsp90 inhibitor","4"
"Geldanamycin","4"
"Polymer chemistry","45"
"Polymerization","2"
"Cell encapsulation","3"
"Tissue engineering","13"
"Self-healing hydrogels","39"
"3D bioprinting","2"
"Polyaniline","2"
"Swelling","2"
"Quenching (fluorescence)","6"
"Nuclear physics","13"
"Neutron","6"
"Medical physicist","5"
"Geography","2"
"Regional science","1"
"Russian federation","1"
"Medical radiation","1"
"Biosensor","19"
"Ex vivo","2"
"Organoid","5"
"Data science","5"
"Evolutionary biology","2"
"DNA barcoding","2"
"Identification (biology)","5"
"Population","9"
"Nursing","14"
"Quality of life (healthcare)","11"
"Medical nutrition therapy","3"
"Antimicrobial","43"
"Colloidal gold","72"
"Paclitaxel","4"
"Prodrug","19"
"Nanoclusters","1"
"Signal transduction","12"
"G protein-coupled receptor","1"
"Signalling","3"
"Dendrimer","12"
"Applications of nanotechnology","6"
"Enzyme","57"
"Proteasome","4"
"Ubiquitin ligase","4"
"Proteolysis","3"
"Deubiquitinating enzyme","1"
"Suppressor","1"
"Chimera (genetics)","1"
"Melanoma","12"
"Embryonic stem cell","3"
"Cancer stem cell","13"
"Stem-cell therapy","1"
"Adsorption","32"
"Microporous material","6"
"Metal-organic framework","27"
"Endocytosis","9"
"Molecular biology","16"
"Aptamer","19"
"Carbon quantum dots","17"
"Endocrinology","14"
"Pancreatic cancer","12"
"Pancreas","1"
"Focal adhesion","1"
"Clinical Oncology","8"
"Multidisciplinary approach","2"
"Geriatric oncology","1"
"Treatment modality","5"
"Biomedicine","13"
"Copolymer","11"
"Organic molecules","5"
"Amphiphile","11"
"Rational design","18"
"Transmission electron microscopy","1"
"Ionic liquid","2"
"Alkylation","1"
"Aqueous solution","4"
"Dynamic light scattering","1"
"Self-assembly","1"
"Serotonin","1"
"Amino acid","7"
"Tryptophan","2"
"Kynurenine pathway","2"
"Kynurenine","2"
"Anxiety","2"
"Endogeny","2"
"Somatic cell","1"
"Melatonin","1"
"Somatization","1"
"Indoleamine 2,3-dioxygenase","2"
"Cognition","3"
"Psychotherapist","3"
"Perception","1"
"Music therapy","1"
"Integrative medicine","1"
"Dosing","5"
"Flexibility (engineering)","1"
"Solid lipid nanoparticle","3"
"Chemotherapeutic drugs","8"
"Drug resistance","20"
"Non-coding RNA","4"
"Long non-coding RNA","5"
"Multiple drug resistance","8"
"Microbiology","35"
"Efflux","2"
"Mesenchymal stem cell","4"
"Isolation (microbiology)","4"
"Biogenesis","7"
"Covalent bond","8"
"TATB","1"
"Explosive material","1"
"Detonation","1"
"Leukemia","2"
"Chronic lymphocytic leukemia","2"
"Myeloid leukemia","1"
"Imatinib","1"
"Hydrogen peroxide","16"
"Nanomaterial-based catalyst","3"
"Radical","16"
"Peroxidase","2"
"Fenton reaction","12"
"Cancer-Associated Fibroblasts","24"
"NAD+ kinase","17"
"Mineralogy","3"
"Tongue","1"
"Rare earth","1"
"Composite number","9"
"Carbon fibers","6"
"Mutation","5"
"Gene expression","14"
"MAPK/ERK pathway","4"
"Thyroid","3"
"Thyroid carcinoma","1"
"Thyroid cancer","3"
"Transcriptome","1"
"Vemurafenib","1"
"Metastatic melanoma","2"
"Exome sequencing","1"
"Monomer","2"
"Irradiation","3"
"Decomposition","2"
"Radical initiator","2"
"Active oxygen","2"
"Electroporation","1"
"Electrochemotherapy","1"
"Brain cancer","5"
"Detector","2"
"Scintillator","1"
"Phosphorescence","1"
"Polyacrylic acid","19"
"Glutathione","13"
"Phototoxicity","9"
"Antioxidant","8"
"Polyphenol","1"
"Cancer prevention","5"
"Adverse effect","13"
"Antibody therapy","2"
"Porphyrin","4"
"Photoacoustic imaging in biomedicine","13"
"Nanoprobe","6"
"Fatty acid","4"
"Polyunsaturated fatty acid","2"
"Eicosapentaenoic acid","2"
"Cancer cachexia","2"
"Cachexia","2"
"Radiobiology","1"
"Clinical Practice","5"
"Solubility","3"
"Biochemical engineering","8"
"Conductive polymer","1"
"Nanorod","4"
"Nanostructure","6"
"Nanocrystal","4"
"Dysbiosis","4"
"Human disease","2"
"Phosphorylation","2"
"Glycolysis","14"
"Metabolism","19"
"Arginine","3"
"Glutamine","1"
"Flux (metallurgy)","1"
"Alanine","1"
"Serine","1"
"Anaerobic glycolysis","3"
"Asparagine","1"
"Chemokine","2"
"Chemokine receptor","1"
"Plerixafor","1"
"CXCR4","1"
"CXCR4 antagonist","1"
"CXC chemokine receptors","1"
"Chemotaxis","1"
"Wavelength","1"
"Esophageal cancer","1"
"Excitation wavelength","1"
"Meteorology","3"
"Ultimate tensile strength","3"
"Alloy","4"
"Microstructure","3"
"Phase (matter)","3"
"Creep","2"
"Precipitation","2"
"Precipitation hardening","2"
"Grain boundary","2"
"Elongation","2"
"Ductility (Earth science)","2"
"Aerospace engineering","2"
"Ternary complex","1"
"Ternary operation","1"
"Dual mode","2"
"Human–computer interaction","1"
