"conceptTitle","countWork"
"Medicine","1614"
"Internal medicine","1578"
"Composite material","53"
"Materials science","951"
"Nanotechnology","928"
"Polymer","36"
"Cancer","1786"
"Pharmacology","457"
"Drug","288"
"Cancer therapy","1786"
"Targeted drug delivery","94"
"Nanocarriers","141"
"Photothermal therapy","191"
"Drug delivery","418"
"Smart polymer","1"
"Anticancer drug","26"
"Cancer treatment","312"
"Chemistry","685"
"Organic chemistry","352"
"Biocompatibility","132"
"Drug carrier","26"
"Chitosan","25"
"Metallurgy","115"
"Biocompatible material","26"
"Biomedical engineering","97"
"Nanomedicine","207"
"Nanoparticle","368"
"Iron oxide nanoparticles","9"
"Magnetic hyperthermia","13"
"Magnetic nanoparticles","38"
"Biology","794"
"Computer science","177"
"Surgery","68"
"Radiation therapy","170"
"Bioinformatics","201"
"Photodynamic therapy","161"
"Biomedicine","12"
"Nanomaterials","82"
"Cancer imaging","32"
"Radiology","56"
"Magnetic resonance imaging","24"
"Pathology","112"
"Medical imaging","6"
"Biotechnology","131"
"In vivo","115"
"Positron emission tomography","8"
"Nuclear medicine","17"
"Personalized medicine","26"
"Medical physics","94"
"Precision medicine","28"
"Molecular imaging","12"
"Immunology","227"
"Genetics","307"
"Immune system","169"
"Cancer immunotherapy","90"
"Bacteria","37"
"Clinical trial","55"
"Immunotherapy","175"
"Gut flora","6"
"Adjuvant","8"
"Commensalism","1"
"Alternative medicine","16"
"Physical therapy","21"
"Family medicine","21"
"Physics","128"
"Optics","48"
"Optical tweezers","1"
"Microfluidics","3"
"Tweezers","1"
"Philosophy","45"
"Epistemology","41"
"Cancer cell","312"
"Toxicity","18"
"Traditional medicine","26"
"Food and drug administration","4"
"Phytochemical","5"
"Vinca","2"
"Mechanism (biology)","37"
"Intensive care medicine","162"
"Warburg effect","2"
"Cancer Medicine","6"
"Psychiatry","16"
"Biochemistry","494"
"Oncology","198"
"Randomized controlled trial","5"
"Chemotherapy","111"
"Myocardial infarction","4"
"Psychological intervention","9"
"Biomarker","9"
"Cardioprotection","1"
"Cardiotoxicity","14"
"Programming language","19"
"Risk analysis (engineering)","21"
"Scope (computer science)","7"
"Apoptosis","68"
"Cell biology","126"
"Organelle","5"
"Mitochondrion","12"
"Cancer research","661"
"Tumor cells","90"
"Tumor microenvironment","139"
"Immune escape","1"
"Computational biology","203"
"Dental care","1"
"Adjuvant therapy","7"
"Standard of care","1"
"Paleontology","41"
"Context (archaeology)","32"
"Breast cancer","59"
"Penile cancer","2"
"Genitourinary system","1"
"Malignancy","5"
"Incidence (geometry)","3"
"Systemic therapy","12"
"Redox","19"
"Catalysis","55"
"Mesoporous material","29"
"Mesoporous silica","27"
"Doxorubicin","27"
"Nanoscopic scale","13"
"Delivery system","16"
"Engineering","90"
"Chemical engineering","20"
"Extracellular matrix","8"
"Angiogenesis","17"
"Tumor progression","11"
"Stromal cell","4"
"Gene","186"
"Microbiome","11"
"Metagenomics","2"
"Carcinogenesis","17"
"Oncolytic virus","26"
"Human Microbiome Project","2"
"Human microbiome","5"
"Molecule","15"
"Supramolecular chemistry","15"
"Combinatorial chemistry","75"
"Calixarene","1"
"Receptor","37"
"In vitro","66"
"Cytotoxic T cell","8"
"Immune checkpoint","21"
"PD-L1","4"
"Targeted therapy","91"
"Blockade","8"
"Combination therapy","52"
"Hyperthermia","17"
"Internalization","10"
"Radiation treatment planning","3"
"Brachytherapy","2"
"Autophagy","22"
"Bladder cancer","22"
"Surface modification","32"
"Biomolecule","14"
"Bioconjugation","3"
"Nanobiotechnology","8"
"Dermatology","6"
"Head and neck cancer","9"
"Trismus","1"
"Side effect (computer science)","4"
"Dysphagia","1"
"Mucositis","5"
"Lymphedema","1"
"Sociology","37"
"Social science","35"
"Modalities","33"
"Programmed cell death","22"
"Oxidative stress","14"
"Reactive oxygen species","50"
"Mitochondrial ROS","2"
"Pancreatic cancer","12"
"Optoelectronics","24"
"Free carrier","2"
"Psychology","29"
"Mechanical engineering","22"
"Physical medicine and rehabilitation","4"
"Stroke (engine)","5"
"Phytomedicine","1"
"Mathematics","36"
"Statistics","12"
"Independence (probability theory)","1"
"Combination chemotherapy","1"
"Metal","10"
"Chelation","5"
"Small molecule","20"
"Metal ions in aqueous solution","4"
"Click chemistry","5"
"Biophysics","97"
"Biodistribution","20"
"Necroptosis","4"
"Pyroptosis","6"
"Sonodynamic therapy","34"
"Proton therapy","10"
"Particle therapy","5"
"Chimeric antigen receptor","16"
"Ecology","30"
"Repurposing","13"
"Solid tumor","7"
"Spleen","1"
"Tyrosine kinase","4"
"Bruton's tyrosine kinase","1"
"Syk","1"
"Tyrosine-kinase inhibitor","3"
"Nursing","29"
"Quality of life (healthcare)","18"
"Art","9"
"Software engineering","1"
"Literature","7"
"Dual (grammatical number)","7"
"Off the shelf","1"
"Antibody","22"
"Disease","74"
"Monoclonal antibody","15"
"Artificial intelligence","20"
"Machine learning","11"
"Cohort","1"
"Zinc","1"
"Micronutrient","2"
"Zinc deficiency (plant disorder)","1"
"Photosensitizer","30"
"Proteomics","4"
"Biomarker discovery","3"
"Microbiology","59"
"Drug resistance","41"
"Multiple drug resistance","17"
"Mechanism of action","5"
"Active immunotherapy","1"
"Phenotype","7"
"Gerontology","4"
"Senescence","4"
"Cellular senescence","4"
"Cell","58"
"Cell cycle","9"
"Cell physiology","1"
"Transferrin","2"
"Liposome","31"
"Transferrin receptor","1"
"Pediatrics","6"
"Concomitant","1"
"Medical diagnosis","2"
"Pharmacotherapy","5"
"Drug treatment","1"
"Drug discovery","28"
"Cancer drugs","18"
"Immunosuppression","4"
"Bench to bedside","6"
"Inorganic chemistry","11"
"Antimicrobial","13"
"Colloidal gold","27"
"Cancer detection","12"
"Cytotoxicity","19"
"Iron oxide","4"
"Growth factor","1"
"Basic fibroblast growth factor","1"
"Oxygen","32"
"Singlet oxygen","15"
"Oxygenation","4"
"Hypoxia (environmental)","14"
