"conceptTitle","countWork"
"Medicine","1352"
"Internal medicine","1128"
"Engineering","160"
"Materials science","777"
"Nanotechnology","685"
"Chemical engineering","54"
"Metallurgy","116"
"Cancer","1178"
"Nanomedicine","229"
"Biocompatibility","105"
"Nanoparticle","397"
"Cancer therapy","702"
"Nanomaterials","141"
"Surface modification","73"
"Clinical trial","40"
"Pharmacology","362"
"Drug","272"
"Intensive care medicine","122"
"Targeted drug delivery","132"
"Drug delivery","374"
"Chemistry","627"
"Organic chemistry","314"
"Pathology","122"
"Computer science","215"
"Biomedical engineering","64"
"Lung cancer","41"
"Self-healing hydrogels","4"
"Biology","618"
"Genetics","271"
"Biochemistry","349"
"Protein–protein interaction","2"
"Enzyme","35"
"Molecule","4"
"Covalent bond","5"
"Stereochemistry","10"
"Hydrogen bond","1"
"Biophysics","64"
"Plasma protein binding","1"
"van der Waals force","1"
"Non-covalent interactions","1"
"Residue (chemistry)","2"
"Covalent binding","1"
"In vitro","79"
"Drug carrier","69"
"Nanocarriers","125"
"Dendrimer","22"
"Biodistribution","17"
"Biocompatible material","14"
"Polymer chemistry","18"
"Combinatorial chemistry","30"
"Branching (polymer chemistry)","1"
"Composite material","75"
"Polymer","56"
"Photothermal therapy","144"
"Smart polymer","8"
"Oncology","268"
"Paleontology","30"
"Context (archaeology)","21"
"Breast cancer","102"
"Microbiology","18"
"Bioinformatics","143"
"Drug resistance","19"
"Pharmacophore","4"
"Apoptosis","50"
"Philosophy","91"
"Epistemology","20"
"Metastasis","58"
"Cancer research","485"
"Carcinogenesis","42"
"Myeloid","5"
"Mechanism (biology)","17"
"Myeloid cells","4"
"Immunology","220"
"Geology","9"
"Immune system","147"
"Lymphatic system","3"
"Oceanography","8"
"Immunotherapy","155"
"Immune checkpoint","31"
"Compartment (ship)","2"
"Computational biology","134"
"Glycosylation","4"
"Targeted therapy","113"
"Receptor","60"
"Growth factor","10"
"Mannose","7"
"Mannose 6-phosphate","7"
"Physical chemistry","61"
"Aqueous solution","12"
"Micelle","10"
"Cell","43"
"Bioavailability","8"
"Internalization","7"
"Phases of clinical research","2"
"Response Evaluation Criteria in Solid Tumors","1"
"Medical physics","54"
"Precision medicine","30"
"Solid tumor","3"
"Catalysis","71"
"Controlled release","5"
"Mesoporous material","49"
"Mesoporous silica","48"
"Cancer cell","229"
"Virology","21"
"Oncolytic virus","23"
"Virotherapy","13"
"Cancer treatment","158"
"Gene","230"
"Ovarian cancer","18"
"Recombinant DNA","5"
"Oncolytic adenovirus","3"
"Viral vector","3"
"Radiation therapy","118"
"Virus","14"
"Adverse effect","27"
"Disease","71"
"Coronavirus disease 2019 (COVID-19)","3"
"Infectious disease (medical specialty)","4"
"Tumor cells","15"
"Pancreatic cancer","14"
"Viral therapy","3"
"Biotechnology","77"
"In vivo","93"
"Colloidal gold","44"
"Transporter","1"
"DNA","33"
"Personalized medicine","25"
"Circulating tumor DNA","8"
"DNA sequencing","5"
"Liquid biopsy","13"
"Cancer Medicine","9"
"Neuroscience","18"
"Organoid","6"
"Surface plasmon resonance","8"
"Alternative medicine","27"
"Fabrication","17"
"Nanoscopic scale","32"
"Cell biology","123"
"Membrane","21"
"Vesicle","14"
"Liposome","36"
"Microfluidics","9"
"microRNA","75"
"Microvesicles","22"
"Extracellular vesicle","11"
"Extracellular vesicles","15"
"Photodynamic therapy","145"
"Cancer stem cell","65"
"Physical therapy","20"
"Clinical study design","2"
"Clinical Practice","8"
"Machine learning","5"
"Biomarker","18"
"Value (mathematics)","1"
"Computer security","38"
"Cancer immunotherapy","96"
"Exploit","35"
"Nanostructure","27"
"Mathematics","32"
"Glioma","3"
"Mathematical economics","1"
"Outcome (game theory)","1"
"Proteomics","10"
"Biomarker discovery","8"
"Bacteria","11"
"Antimicrobial","7"
"Biochemical engineering","14"
"Biofilm","4"
"Multiple drug resistance","11"
"Solubility","4"
"Operations research","4"
"Chromatography","12"
"Dosage form","2"
"Pharmaceutical sciences","3"
"Delivery system","5"
"Penetration (warfare)","4"
"Transcription factor","20"
"Phosphorylation","16"
"Cell cycle","46"
"Phosphatase","13"
"Protein phosphatase 2","13"
"E2F1","13"
"Antigen","15"
"T cell","16"
"Tumor microenvironment","41"
"Chimeric antigen receptor","17"
"Glucan","3"
"Sociology","17"
"Anthropology","1"
"Angiogenesis","16"
"Blood vessel","2"
"Neovascularization","5"
"VEGF receptors","3"
"Vascular endothelial growth factor","2"
"Normalization (sociology)","1"
"Molecular biology","32"
"Conjugated system","18"
"Aptamer","30"
"Oxygen","25"
"Radical","3"
"Superoxide","3"
"Reactive oxygen species","19"
"Photochemistry","35"
"Hydrogen peroxide","5"
"Photosensitizer","45"
"Hydroxyl radical","3"
"Limiting oxygen concentration","3"
"Singlet oxygen","16"
"Transfection","6"
"Phototoxicity","3"
"Cationic liposome","1"
"Psychology","89"
"Political science","83"
"Geography","68"
"History","67"
"Economics","78"
"Pedagogy","67"
"Social psychology","73"
"Electrical engineering","69"
"Public relations","66"
"Medical education","66"
"Art","69"
"Operations management","66"
"Curriculum","66"
"Environmental science","67"
"Filter (signal processing)","66"
"Law and economics","66"
"Welfare economics","66"
"Economic growth","4"
"Health care","7"
"Nurse education","1"
"Nursing","23"
"Quality of life (healthcare)","12"
"Medical prescription","1"
"Oncology nursing","1"
"Informatics","1"
"Psychiatry","15"
"Theology","1"
"Psychological intervention","4"
"Mainstream","1"
"Integrative medicine","2"
"Camptothecin","8"
"Paclitaxel","11"
"Chemotherapy","99"
"Hyperthermia","13"
"PLGA","6"
"Applications of nanotechnology","3"
"Insulin","5"
"Metformin","3"
"Cancer chemotherapy","10"
"Tolerability","4"
"Stem cell","18"
"Nanorobotics","3"
"Regenerative medicine","7"
"Heart failure","10"
"Toxicity","10"
"Oxidative stress","1"
"Doxorubicin","33"
"Cardiomyopathy","3"
"Autophagy","18"
"Cardiotoxicity","10"
"Cyclin-dependent kinase 2","1"
"Downregulation and upregulation","5"
"Anthracycline","4"
"TUNEL assay","1"
"Carbon nanotube","8"
"Photothermal effect","12"
"Physics","114"
"Programming language","9"
"Surgery","55"
"Optics","53"
"Laser","5"
"Dermatology","6"
"Head and neck cancer","7"
"Side effect (computer science)","3"
"Mucositis","1"
"Low level laser therapy","1"
"Lymphedema","1"
"Laser therapy","1"
"Silver nanoparticle","6"
"Nanotoxicology","6"
"Intracellular","16"
"Cosmetics","2"
"Radiochemistry","7"
"Cancer imaging","49"
"Nuclear physics","22"
"Irradiation","13"
"Ionizing radiation","4"
"Radiobiology","9"
"Biomedicine","9"
"Artificial intelligence","17"
"Fluorescence","36"
"Visualization","1"
"Förster resonance energy transfer","3"
"Fluorescence-lifetime imaging microscopy","18"
"Nanoprobe","1"
"Cancer detection","21"
"Copper","4"
"Copper sulfide","4"
"Quantum mechanics","32"
"Glutathione","3"
"Cytotoxicity","19"
"Antibody","35"
"Social science","16"
"Monoclonal antibody","20"
"Drug development","21"
"Modalities","13"
"Novelty","2"
"Combination therapy","23"
"Cell growth","45"
"Suppressor","23"
"Gastric carcinoma","18"
"Blockade","17"
"Monoclonal","3"
"Epithelial cell adhesion molecule","1"
"Colorectal cancer","33"
"Cause of death","4"
"Clinical Oncology","10"
"Surgical oncology","9"
"Psycho-oncology","7"
"Gynecologic oncology","7"
"Radiation oncology","8"
"Radiology","50"
"Glioblastoma","9"
"Nuclear medicine","35"
"Radioresistance","7"
"CTLA-4","2"
"Metabolomics","2"
"Tamoxifen","2"
"Letrozole","1"
"Palbociclib","1"
"Metastatic breast cancer","9"
"Adsorption","29"
"Metal-organic framework","29"
"Treatment modality","6"
"Graphene","10"
"Nuclear chemistry","7"
"Chitosan","12"
"MTT assay","1"
"Nanocomposite","11"
"Signal transduction","39"
"Protein kinase B","16"
"Oncogene","23"
"PI3K/AKT/mTOR pathway","21"
"PTEN","16"
"Tensin","16"
"Condensed matter physics","1"
"Oxide","1"
"Tungsten Compounds","1"
"Tungsten","1"
"Tungsten oxide","1"
"Solid-state physics","1"
"Iron oxide nanoparticles","10"
"Antioxidant","10"
"Selenium","3"
"Soft tissue","3"
"Cancer prevention","3"
"Organelle","5"
"Cytoplasm","2"
"Mitochondrion","8"
"Boron","7"
"BODIPY","1"
"Subcellular localization","1"
"Hydrogen sulfide","1"
"Sulfur","3"
"Botany","14"
"Traditional medicine","17"
