"conceptTitle","countWork"
"Medicine","2040"
"Internal medicine","1992"
"Cancer","2173"
"Pharmacology","445"
"Cancer therapy","2173"
"Curcumin","9"
"Cancer prevention","8"
"Biology","802"
"Immunology","207"
"Antibody","38"
"Computer science","182"
"Pharmacokinetics","6"
"Computational biology","215"
"Monoclonal antibody","24"
"Antibody therapy","8"
"Pharmacodynamics","3"
"Chemistry","823"
"Apoptosis","53"
"Genetics","324"
"Biochemistry","493"
"Cell biology","106"
"Enzyme","68"
"Organic chemistry","378"
"Materials science","974"
"Endocrinology","9"
"Metallurgy","83"
"Oxygen","38"
"Hypoxia (environmental)","25"
"Copper","17"
"Metal","14"
"Reactive oxygen species","28"
"Tumor cells","50"
"Cancer research","746"
"Glutathione","17"
"Biophysics","73"
"Tumor microenvironment","75"
"Autophagy","20"
"Starvation","4"
"Neuroscience","24"
"Artificial intelligence","45"
"Perspective (graphical)","11"
"Circadian rhythm","1"
"Circadian clock","1"
"Biologist","1"
"Biological clock","1"
"Physics","168"
"Nuclear magnetic resonance","17"
"Optics","68"
"Laser","8"
"Breast cancer","90"
"Phase (matter)","2"
"Nanotechnology","936"
"Drug","248"
"Nanomedicine","134"
"Nanoparticle","373"
"Targeted drug delivery","77"
"Drug carrier","27"
"Nanocarriers","90"
"Drug delivery","295"
"Cancer treatment","214"
"Meteorology","6"
"Nuclear physics","27"
"Environmental science","3"
"Plasma","7"
"Environmental chemistry","3"
"Atmospheric pressure","1"
"Atmospheric-pressure plasma","6"
"Gene","207"
"Genetic enhancement","35"
"Oncolytic virus","30"
"Oncolytic adenovirus","5"
"Surgery","72"
"Nursing","39"
"Radiation therapy","163"
"Itching","1"
"Dermatology","23"
"Quality of life (healthcare)","17"
"Radiodermatitis","2"
"Oncology","352"
"Targeted therapy","95"
"Small molecule","12"
"Photothermal therapy","175"
"Nanoshell","7"
"Nanorod","16"
"Colloidal gold","43"
"Carbon nanotube","11"
"Gene delivery","13"
"Radiology","55"
"Biomedical engineering","105"
"Ultrasonic sensor","3"
"Ultrasound","18"
"Medical physics","117"
"Hyperthermia","32"
"Liposome","45"
"Nanocapsules","2"
"Mutant","5"
"Amino acid","18"
"Auxotrophy","2"
"Bioinformatics","182"
"Combinatorial chemistry","107"
"Arginine","2"
"Arginase","2"
"Arginine deiminase","1"
"Broad spectrum","6"
"Cancer cell","208"
"Immunotherapy","143"
"Cell cycle","12"
"Lung cancer","30"
"Transgene","1"
"Cyclin","1"
"Genetically modified mouse","1"
"Intensive care medicine","201"
"Population","16"
"Environmental health","18"
"Microbiology","39"
"Drug resistance","33"
"Multiple drug resistance","14"
"Ecology","44"
"Disease","66"
"Adaptability","2"
"Paleontology","38"
"Immune system","125"
"Chemotherapy","110"
"Wound healing","2"
"Chronic wound","1"
"Nodule (geology)","1"
"Tumor necrosis factor alpha","3"
"Programmed cell death","17"
"Programming language","15"
"Prenylation","3"
"Side effect (computer science)","4"
"Farnesyltransferase","3"
"Natural (archaeology)","6"
"microRNA","35"
"Stem cell","29"
"Cancer stem cell","20"
"DNA","46"
"Molecular biology","23"
"RNA","18"
"Oligonucleotide","3"
"Nucleic acid","14"
"Systematic evolution of ligands by exponential enrichment","4"
"Aptamer","26"
"SELEX Aptamer Technique","2"
"Graphene","35"
"Biocompatibility","46"
"Nanomaterials","90"
"Pathology","107"
"Virus","22"
"Virology","33"
"Virotherapy","10"
"Biosafety","2"
"Receptor","53"
"Receptor tyrosine kinase","5"
"Metastasis","35"
"Personalized medicine","23"
