"conceptTitle","countWork"
"Medicine","1530"
"Internal medicine","1496"
"Sociology","20"
"Social science","17"
"Cancer","1626"
"Oncology","299"
"Chemotherapy","96"
"Intensive care medicine","141"
"Cancer therapy","1626"
"Geriatric oncology","1"
"Cardiotoxicity","22"
"Modalities","12"
"Cancer treatment","190"
"Immunology","165"
"Antigen","12"
"Immune system","99"
"Materials science","694"
"Nanotechnology","663"
"Nanomedicine","117"
"Immunogenicity","5"
"Adjuvant","10"
"Nanoparticle","263"
"Cancer immunotherapy","43"
"Immunotherapy","98"
"Targeted drug delivery","74"
"Drug carrier","21"
"Nanorobotics","5"
"Drug delivery","265"
"Inflammation","10"
"Pathology","93"
"Disease","36"
"Dermatology","6"
"Inflammatory Bowel Diseases","1"
"Ulcerative colitis","1"
"Mucosal inflammation","1"
"Oral mucosa","1"
"Mucositis","4"
"Mathematics","50"
"Statistics","12"
"Urology","6"
"Bladder cancer","16"
"Value (mathematics)","5"
"Bioavailability","12"
"Pharmacology","343"
"Traditional medicine","26"
"Drug","227"
"Blood circulation","3"
"Anticancer drug","22"
"Systemic circulation","5"
"Biology","599"
"Chemistry","561"
"Genetics","245"
"Cell biology","76"
"Environmental health","16"
"Cancer cell","160"
"Bioinformatics","148"
"Reactive oxygen species","23"
"Cancer research","502"
"Human health","5"
"Computational biology","173"
"Cancer drugs","35"
"Radiation therapy","129"
"Observational study","2"
"Physical exercise","1"
"Composite material","69"
"Polymer","42"
"Nanocarriers","76"
"Controlled release","6"
"Smart polymer","1"
"Organic chemistry","284"
"Biotechnology","76"
"In vivo","72"
"Combinatorial chemistry","72"
"Aqueous solution","14"
"Micelle","13"
"Applications of nanotechnology","4"
"Engineering","91"
"Biocompatible material","16"
"Biomedical engineering","77"
"Biochemical engineering","6"
"Natural polymers","3"
"Molecular biology","11"
"Conjugated system","9"
"Aptamer","13"
"Radiology","46"
"Magnetic resonance imaging","13"
"Physical chemistry","21"
"Metallurgy","66"
"Biocompatibility","52"
"Photothermal therapy","133"
"Hyperthermia therapy","7"
"Magnetic hyperthermia","13"
"Surface modification","16"
"Magnetic nanoparticles","24"
"Antibody","35"
"Monoclonal antibody","21"
"Antibody therapy","6"
"Bispecific antibody","6"
"Targeted therapy","66"
"Biochemistry","372"
"Peptide","24"
"Physics","147"
"Quantum mechanics","59"
"Chemical engineering","25"
"Polymer chemistry","23"
"Charge (physics)","1"
"Colloid","1"
"Biophysics","59"
"Self-healing hydrogels","14"
"Angiogenesis","11"
"Microtubule","1"
"Tubulin","1"
"Liposome","35"
"Combretastatin","1"
"Medical physics","98"
"Radioimmunotherapy","2"
"Gene","153"
"Infectious disease (medical specialty)","7"
"Microbiome","10"
"Metagenomics","2"
"Human microbiome","1"
"Oral Microbiome","1"
"Delivery system","10"
"Surgery","60"
"Graphene","20"
"Biomolecule","4"
"Doxorubicin","25"
"In vitro","62"
"Redox","8"
"Biodistribution","11"
"Botany","11"
"Stem cell","25"
"Cancer stem cell","21"
"Identification (biology)","9"
"Photodynamic therapy","117"
"Therapeutic modalities","5"
"Sonodynamic therapy","9"
"Iron oxide nanoparticles","13"
"Colloidal gold","34"
"Toxicity","14"
"Lung cancer","26"
"Emergency medicine","2"
"Personalized medicine","21"
"Precision medicine","20"
"Diagnostic test","1"
"Companion diagnostic","2"
"Drug discovery","12"
"Proteomics","3"
"Biomarker","7"
"Drug development","6"
"In silico","5"
"Systems biology","5"
"Biomarker discovery","1"
"Modelling biological systems","1"
"Drug action","1"
"Systems pharmacology","1"
"Enzyme","35"
"Amino acid","15"
"Arginine","4"
"Arginine deiminase","1"
"Oxidative stress","8"
"Nanomaterials","71"
"Nanoshell","3"
"Cancer incidence","2"
"Curcumin","8"
"Curcuma","3"
"Energy metabolism","1"
"Physical therapy","31"
"Family medicine","17"
"Medication therapy management","1"
"Pharmacy","2"
"Pharmacist","1"
"Neuroscience","23"
"Clinical trial","33"
"Childhood cancer","6"
"Pediatric cancer","2"
"Cardiac toxicity","1"
"Anesthesia","1"
"Morphine","1"
"Cancer pain","5"
"Spasticity","1"
"Chronic pain","1"
"Pharmacotherapy","6"
"Breakthrough Pain","1"
